category,name,rating,reviews_count,area,address,google_place_id,website,google_maps_url,possible_existing_slug,possible_existing_place_id
hotel,Hotel JS PortoColom Suites,4.2,504,Portocolom,"Carrer de l'Orada, 07670 Portocolom, Illes Balears",ChIJHWG-e3RRlhIRPEmq4SkLQF8,https://www.jshotels.com/es/js-portocolom-suites/?utm_source=google&utm_medium=organic&utm_campaign=my_business,https://maps.google.com/?cid=6863498106620234044&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
hotel,Hotel ROC Oberoy Adults Only,4.2,498,Peguera,"Carrer dels Ametllers, 5, 07160 Peguera, Illes Balears",ChIJlboeFFYnmBIRCiXawyTXbhc,https://www.roc-hotels.com/hoteles/paguera/hotel-roc-oberoy-adults-only-16?utm_source=google&utm_medium=organic&utm_campaign=GMB&utm_content=HotelRocOberoy,https://maps.google.com/?cid=1688523463215162634&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
hotel,"APARTHOTEL DUNES PLATJA, S.L.",4.5,490,Can Picafort,"Passeig Colón, 138, 07458 Can Picafort, Illes Balears",ChIJS6reenEylhIRDI0pm9Jddtk,http://www.dunesplatja.com/,https://maps.google.com/?cid=15669815112609926412&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
hotel,Hotel Playas Paguera,4.2,482,Peguera,"Bulevar de Peguera, 70, 07160 Peguera, Illes Balears",ChIJLUt6b04nmBIRrjSQRvOR_00,https://www.hotelplayaspaguera.com/?utm_source=google&utm_medium=mybusiness&utm_campaign=boton,https://maps.google.com/?cid=5620371334028604590&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
hotel,Hotel Hoposa Uyal,4.4,480,Port de Pollença,"Passeig de Londres, 68- 70, 07470 Port de Pollença, Illes Balears",ChIJSwH9t9_UlxIR7dtcVhR7BY4,https://www.hoposa.es/hotels/uyal?utm_source=google&utm_medium=mybusiness&utm_campaign=boton,https://maps.google.com/?cid=10233721055547808749&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
hotel,Pure Salt Port de Sóller,4.2,476,Port de Sóller,"Camí del Far, 5, 07108 Port de Sóller, Illes Balears",ChIJswgDZ_nllxIRRsaqJ6bcD6c,https://www.puresaltluxuryhotels.com/port-soller/?utm_source=google&utm_medium=organic&utm_campaign=my_business&utm_content=puresaltportdesoller,https://maps.google.com/?cid=12038082935172810310&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
hotel,Hotel Ilusion Moreyo,4,475,Cala Bona,"Passeig Maritim de Cala Bona, 8, 07559 Son Servera, Illes Balears",ChIJKZp_vo8_lhIRCsbejwVdqhQ,http://www.ilusionhotels.com/,https://maps.google.com/?cid=1489104905269331466&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
hotel,Hotel Es Molí,4.6,471,Valldemossa,"Carretera, s/n, 07179 Valldemossa, Illes Balears",ChIJMRKBt7LvlxIRglM6g0db8Ww,http://www.esmoli.com/,https://maps.google.com/?cid=7850155988185928578&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
hotel,THB Bamboo Alcudia,4.6,466,Port d'Alcúdia,"Av. Pere Mas i Reus, 3A, 07400 Port d'Alcúdia, Illes Balears",ChIJSei3YWUtlhIRIfyoDiVbNyY,https://www.thbhotels.com/hotel-bamboo-alcudia-puerto-de-alcudia/?utm_source=google&utm_medium=organic&utm_campaign=my_business&utm_content=site_web,https://maps.google.com/?cid=2753769911878220833&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
hotel,Aimia Hotel Port de Sóller,4.7,457,Port de Sóller,"Carrer Santa Maria del Cami, 1, 07108 Port de Sóller, Illes Balears",ChIJJZ14suLllxIRTEg4k2hb-fI,http://www.aimiahotel.com/,https://maps.google.com/?cid=17508125531084179532&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,
